id,url,format,version,timestamp,datasource,label,comment
file_0,/user/bdm/persistent/gbif/1/2022-05-11_13-04-40/0273021-210914110416597/occurrence.parquet,PARQUET,1,2022-05-11 13:04:40,ds_0,occurrence,Download key: 0273021-210914110416597
file_1,/user/bdm/persistent/gbif/1/2022-05-11_13-10-57/0203956-210914110416597/occurrence.parquet,PARQUET,1,2022-05-11 13:10:57,ds_0,occurrence,Download key: 0203956-210914110416597
file_2,/user/bdm/persistent/gbif/1/2022-05-11_13-11-51/0204028-210914110416597/occurrence.parquet,PARQUET,1,2022-05-11 13:11:51,ds_0,occurrence,Download key: 0204028-210914110416597
file_3,/user/bdm/persistent/gbif/1/2022-05-11_13-12-51/0273021-210914110416597/occurrence.parquet,PARQUET,1,2022-05-11 13:12:51,ds_0,occurrence,Download key: 0273021-210914110416597
file_4,/user/bdm/persistent/neo/MOD_LSTD_M/2022-05-11_13-21-07/2000-02.pq,PARQUET,,2022-05-11 13:21:07,ds_1,MOD_LSTD_M (2000-02),Date: 2000-02-01 00:00:00
file_5,/user/bdm/persistent/neo/MOD_LSTD_M/2022-05-11_13-21-07/2000-03.pq,PARQUET,,2022-05-11 13:21:07,ds_1,MOD_LSTD_M (2000-03),Date: 2000-03-01 00:00:00
file_6,/user/bdm/persistent/neo/MOD_LSTD_M/2022-05-11_13-21-07/2000-04.pq,PARQUET,,2022-05-11 13:21:07,ds_1,MOD_LSTD_M (2000-04),Date: 2000-04-01 00:00:00
file_7,/user/bdm/persistent/neo/MOD_LSTD_M/2022-05-11_13-21-07/2000-05.pq,PARQUET,,2022-05-11 13:21:07,ds_1,MOD_LSTD_M (2000-05),Date: 2000-05-01 00:00:00
file_8,/user/bdm/persistent/neo/MOD_LSTD_M/2022-05-11_13-21-07/2000-06.pq,PARQUET,,2022-05-11 13:21:07,ds_1,MOD_LSTD_M (2000-06),Date: 2000-06-01 00:00:00
file_9,/user/bdm/persistent/neo/MOD_LSTD_M/2022-05-11_13-21-07/2000-07.pq,PARQUET,,2022-05-11 13:21:07,ds_1,MOD_LSTD_M (2000-07),Date: 2000-07-01 00:00:00
file_10,/user/bdm/persistent/neo/MOD_LSTD_M/2022-05-11_13-21-07/2000-08.pq,PARQUET,,2022-05-11 13:21:07,ds_1,MOD_LSTD_M (2000-08),Date: 2000-08-01 00:00:00
file_11,/user/bdm/persistent/neo/MOD_LSTD_M/2022-05-11_13-21-07/2000-09.pq,PARQUET,,2022-05-11 13:21:07,ds_1,MOD_LSTD_M (2000-09),Date: 2000-09-01 00:00:00
file_12,/user/bdm/persistent/neo/MOD_LSTD_M/2022-05-11_13-21-07/2000-10.pq,PARQUET,,2022-05-11 13:21:07,ds_1,MOD_LSTD_M (2000-10),Date: 2000-10-01 00:00:00
file_13,/user/bdm/persistent/neo/MOD_LSTD_M/2022-05-11_13-21-07/2000-11.pq,PARQUET,,2022-05-11 13:21:07,ds_1,MOD_LSTD_M (2000-11),Date: 2000-11-01 00:00:00
file_14,/user/bdm/persistent/neo/MOD_LSTD_M/2022-05-11_13-21-07/2000-12.pq,PARQUET,,2022-05-11 13:21:07,ds_1,MOD_LSTD_M (2000-12),Date: 2000-12-01 00:00:00
file_15,/user/bdm/persistent/neo/MOD_LSTD_M/2022-05-11_13-21-07/2001-01.pq,PARQUET,,2022-05-11 13:21:07,ds_1,MOD_LSTD_M (2001-01),Date: 2001-01-01 00:00:00
file_16,/user/bdm/persistent/neo/MOD_LSTD_M/2022-05-11_13-21-07/2001-02.pq,PARQUET,,2022-05-11 13:21:07,ds_1,MOD_LSTD_M (2001-02),Date: 2001-02-01 00:00:00
file_17,/user/bdm/persistent/neo/MOD_LSTD_M/2022-05-11_13-21-07/2001-03.pq,PARQUET,,2022-05-11 13:21:07,ds_1,MOD_LSTD_M (2001-03),Date: 2001-03-01 00:00:00
file_18,/user/bdm/persistent/neo/MOD_LSTD_M/2022-05-11_13-21-07/2001-04.pq,PARQUET,,2022-05-11 13:21:07,ds_1,MOD_LSTD_M (2001-04),Date: 2001-04-01 00:00:00
file_19,/user/bdm/persistent/neo/MOD_LSTD_M/2022-05-11_13-21-07/2001-05.pq,PARQUET,,2022-05-11 13:21:07,ds_1,MOD_LSTD_M (2001-05),Date: 2001-05-01 00:00:00
file_20,/user/bdm/persistent/neo/MOD_LSTD_M/2022-05-11_13-21-07/2001-06.pq,PARQUET,,2022-05-11 13:21:07,ds_1,MOD_LSTD_M (2001-06),Date: 2001-06-01 00:00:00
file_21,/user/bdm/persistent/neo/MOD_LSTD_M/2022-05-11_13-21-07/2001-07.pq,PARQUET,,2022-05-11 13:21:07,ds_1,MOD_LSTD_M (2001-07),Date: 2001-07-01 00:00:00
file_22,/user/bdm/persistent/neo/MOD_LSTD_M/2022-05-11_13-21-07/2001-08.pq,PARQUET,,2022-05-11 13:21:07,ds_1,MOD_LSTD_M (2001-08),Date: 2001-08-01 00:00:00
file_23,/user/bdm/persistent/neo/MOD_LSTD_M/2022-05-11_13-21-07/2001-09.pq,PARQUET,,2022-05-11 13:21:07,ds_1,MOD_LSTD_M (2001-09),Date: 2001-09-01 00:00:00
file_24,/user/bdm/persistent/neo/MOD_LSTD_M/2022-05-11_13-21-07/2001-10.pq,PARQUET,,2022-05-11 13:21:07,ds_1,MOD_LSTD_M (2001-10),Date: 2001-10-01 00:00:00
